Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-29 23:51:45.238,114252.0,0.001,BTCUSDT
2025-09-29 23:51:45.740,114252.0,0.02,BTCUSDT
2025-09-29 23:51:46.275,114251.9,0.003,BTCUSDT
2025-09-29 23:51:46.441,114251.9,0.017,BTCUSDT
2025-09-29 23:51:46.682,114252.0,0.02,BTCUSDT
2025-09-29 23:51:46.868,114251.9,0.002,BTCUSDT
2025-09-29 23:51:46.956,114251.9,0.001,BTCUSDT
2025-09-29 23:51:47.679,114252.0,0.02,BTCUSDT
2025-09-29 23:51:47.951,114251.9,0.003,BTCUSDT
2025-09-29 23:51:48.641,114252.0,0.02,BTCUSDT
2025-09-29 23:51:48.970,114251.9,0.002,BTCUSDT
2025-09-29 23:51:49.081,114252.0,0.008,BTCUSDT
2025-09-29 23:51:49.625,114252.0,0.02,BTCUSDT
2025-09-29 23:51:50.047,114252.0,0.001,BTCUSDT
2025-09-29 23:51:50.688,114251.9,0.001,BTCUSDT
2025-09-29 23:51:50.714,114252.0,0.02,BTCUSDT
2025-09-29 23:51:51.036,114251.9,0.002,BTCUSDT
2025-09-29 23:51:51.131,114252.0,0.008,BTCUSDT
2025-09-29 23:51:51.247,114252.0,0.001,BTCUSDT
2025-09-29 23:51:51.765,114252.0,0.02,BTCUSDT
2025-09-29 23:51:51.943,114251.9,0.001,BTCUSDT
2025-09-29 23:51:52.192,114251.9,0.002,BTCUSDT
